,Accuracy,Runtime,Size,time_saved,acc_lost
0,0.9575,2421.5614449977875,784,0.0,0.0
1,0.9501,2265.5522458553314,392,0.06442504255455661,0.007400000000000073
2,0.9268,2218.5216131210327,196,0.08384665699735745,0.03070000000000006
3,0.8714,2213.5432879924774,98,0.08590248966633185,0.08610000000000007
4,0.7744,2210.0227859020233,49,0.08735630455825887,0.18310000000000004
