,Accuracy,Runtime,Size,time_saved,acc_lost
0,0.9631,2640.189441919327,784,0.0,0.0
1,0.9599,2465.169284105301,392,0.06629075741125313,0.0031999999999999806
2,0.9201,2425.907244205475,196,0.08116167510997853,0.04299999999999993
3,0.8913,2409.6150987148285,98,0.08733249953339663,0.07179999999999997
4,0.7888,2415.8540637493134,49,0.08496942477238653,0.1743
