,Accuracy,Runtime,Size,time_saved,acc_lost
0,0.7066,4210.957132101059,2048,0.0,0.0
1,0.7024,3775.285341024399,1536,0.103461464320175,0.0041999999999999815
2,0.6981,3327.213499069214,1024,0.20986763942450795,0.008499999999999952
3,0.6926,2941.311112165451,512,0.3015100795628659,0.014000000000000012
4,0.6726,2856.5715498924255,256,0.321633666579945,0.03400000000000003
5,0.6423,2818.9563601017,124,0.33056636017209223,0.06430000000000002
6,0.5974,2811.0189337730408,56,0.332451306059608,0.10919999999999996
