,Accuracy,Runtime,Size,time_saved,acc_lost
0,0.4244,3282.216723203659,1024,0.0,0.0
1,0.3902,2959.8962218761444,512,0.09820207759252067,0.03420000000000001
2,0.3667,2951.96026802063,256,0.10061994165354114,0.057699999999999974
3,0.3319,2937.304868221283,128,0.10508503370420935,0.09250000000000003
4,0.2469,2935.7971620559692,64,0.10554438977130114,0.1775
